epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,3384.85,1.38726,1.44498,1.5993,0.69849,0.67208,0.72234,0.4619,1.48127,1.29853,1.6774,0.003862,0.003862,0.003862
64,3460.26,1.38209,1.44491,1.60533,0.66658,0.68523,0.7093,0.45355,1.47476,1.32751,1.67969,0.003763,0.003763,0.003763
65,3535.53,1.38849,1.43148,1.59948,0.68644,0.69181,0.72124,0.45739,1.48186,1.28604,1.66944,0.003664,0.003664,0.003664
66,3610.81,1.37918,1.42442,1.59121,0.68164,0.66949,0.71827,0.46143,1.47291,1.29296,1.67169,0.003565,0.003565,0.003565
67,3686.12,1.36572,1.40342,1.58643,0.68588,0.67886,0.71759,0.46213,1.46802,1.28233,1.66444,0.003466,0.003466,0.003466
68,3761.56,1.37364,1.42266,1.58807,0.67982,0.68411,0.71933,0.46109,1.45293,1.2718,1.65838,0.003367,0.003367,0.003367
69,3836.92,1.36445,1.39755,1.59059,0.68909,0.68582,0.72878,0.47537,1.45898,1.27674,1.66902,0.003268,0.003268,0.003268
70,3912.16,1.37693,1.40674,1.58816,0.70542,0.70423,0.73119,0.47751,1.4602,1.2474,1.65949,0.003169,0.003169,0.003169
71,3987.91,1.35914,1.38759,1.57777,0.71168,0.6837,0.73633,0.48041,1.45187,1.2641,1.6569,0.00307,0.00307,0.00307
72,4063.18,1.36588,1.38665,1.58281,0.68987,0.69607,0.72884,0.47183,1.47169,1.25076,1.66891,0.002971,0.002971,0.002971
73,4138.45,1.35568,1.39171,1.5783,0.70153,0.69437,0.73825,0.48403,1.44813,1.23468,1.6525,0.002872,0.002872,0.002872
74,4213.73,1.35069,1.36046,1.5642,0.7228,0.68038,0.73787,0.48012,1.4607,1.23129,1.64779,0.002773,0.002773,0.002773
75,4289,1.34695,1.38207,1.57274,0.68544,0.71072,0.73576,0.48043,1.44501,1.2455,1.64868,0.002674,0.002674,0.002674
76,4364.4,1.34144,1.35719,1.56572,0.71293,0.68327,0.73688,0.47735,1.44507,1.22475,1.64106,0.002575,0.002575,0.002575
77,4439.79,1.34441,1.35165,1.55796,0.72545,0.69538,0.74375,0.48576,1.44769,1.21671,1.64603,0.002476,0.002476,0.002476
